^SAMPLE = GSM11
!Sample_title = NHGRI_A-357
!Sample_geo_accession = GSM11
!Sample_status = Public on Jan 24 2001
!Sample_submission_date = Jan 09 2001
!Sample_last_update_date = May 27 2005
!Sample_type = RNA
!Sample_channel_count = 2
!Sample_source_name_ch1 = melanoma, skin
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_molecule_ch1 = total RNA
!Sample_source_name_ch2 = NHGRI_Melanoma_Ref
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_molecule_ch2 = total RNA
!Sample_description = Biopsy location: skin
!Sample_description = Patient sex: 54
!Sample_description = Patient age: female
!Sample_description = Passage number: ND
!Sample_description = p16 mutation status: mutation
!Sample_description = Invasive ability: 2.8 +/- 0.2%
!Sample_description = Vasculogenic mimicry: -
!Sample_description = Gel contraction: ND
!Sample_description = Cell motility: 67.80 +/- 4.40
!Sample_description = Scratch wound (%): 26
!Sample_description = 
!Sample_description = See http://www.nhgri.nih.gov/DIR/Microarray/Nature_paper.pdf
!Sample_description = and http://www.nhgri.nih.gov/DIR/Microarray/Melanoma_Supplement/index.html
!Sample_platform_id = GPL7
!Sample_contact_name = Michael,,Bittner
!Sample_contact_email = mbittner@nhgri.nih.gov
!Sample_contact_phone = 301-496-7980
!Sample_contact_fax = 301-402-3241
!Sample_contact_department = Cancer Genetics Branch
!Sample_contact_institute = NHGRI, NIH
!Sample_contact_address =  
!Sample_contact_city = Bethesda
!Sample_contact_state = MD
!Sample_contact_zip/postal_code = 20892
!Sample_contact_country = USA
!Sample_contact_web_link = http://www.nhgri.nih.gov/Intramural_research/People/bittnerm.html
!Sample_supplementary_file = NONE
!Sample_series_id = GSE1
!Sample_data_row_count = 8192
#ID_REF = 
#CH1_TARGET_TOP = Sample 1 (Red Channel) target location in image - top
#CH1_TARGET_LT = Sample 1 (Red Channel) target location in image - left
#CH1_TARGET_BOT = Sample 1 (Red Channel) target location in image - bottom
#CH1_TARGET_RT = Sample 1 (Red Channel) target location in image - right
#CH1_RAW = Sample 1 (Red Channel) Total Intensity
#CH1_MEAN = Sample 1 (Red Channel) Mean Intensity
#CH1_SD = Sample 1 (Red Channel) Standard Deviation
#CH1_AREA = Sample 1 (Red Channel) Area
#CH1_BKD_MEAN = Sample 1 (Red Channel) Mean Background Level
#CH1_BKD_SD = Sample 1 (Red Channel) Background Standard Deviation
#CH2_TARGET_TOP = Sample 2 (Green Channel) target location in image - top
#CH2_TARGET_LT = Sample 2 Green Channel) target location in image - left
#CH2_TARGET_BOT = Sample 2 Green Channel) target location in image - bottom
#CH2_TARGET_RT = Sample 2 Green Channel) target location in image - right
#CH2_RAW = Sample 2 Green Channel) Total Intensity
#CH1_MEAN = Sample 1 (Red Channel) Mean Intensity
#CH2_SD = Sample 2 Green Channel) Standard Deviation
#CH2_AREA = Sample 2 Green Channel) Area
#CH2_BKD_MEAN = Sample 2 Green Channel) Mean Background Level
#CH2_BKD_SD = Sample 2 Green Channel) Background Standard Deviation
#UNION_AREA = Union Area
#RATIO = Raw Ratio
#VALUE = log ratio of PRE_VALUE
#CONF_LEVEL = Confidence Level - fixed at 99%
#CONF_LOW = Confidence Interval - Lower Bound - Raw Ratio
#CONF_UP = Confidence Interval - Upper Bound - Raw Ratio
#NORM_FACTOR = M-value
#CV = Coefficient of variance
#PRE_VALUE = Calibrated Ratio
!sample_table_begin
ID_REF	CH1_TARGET_TOP	CH1_TARGET_LT	CH1_TARGET_BOT	CH1_TARGET_RT	CH1_RAW	CH1_MEAN	CH1_SD	CH1_AREA	CH1_BKD_MEAN	CH1_BKD_SD	CH2_TARGET_TOP	CH2_TARGET_LT	CH2_TARGET_BOT	CH2_TARGET_RT	CH2_RAW	CH1_MEAN	CH2_SD	CH2_AREA	CH2_BKD_MEAN	CH2_BKD_SD	UNION_AREA	RATIO	VALUE	CONF_LEVEL	CONF_LOW	CONF_UP	NORM_FACTOR	CV	PRE_VALUE
1	44	114	62	132	2610446	18508.3	9076.7	104	3803.2	484.8	44	114	62	132	5810117	45917.9	21522.9	125	3741.3	294.0	125	0.403	-0.2284133	99.000	0.318	1.462	0.682	0.188	0.591
2	661	124	679	142	1	1.0	0.0	0	3585.2	388.6	661	124	679	142	1	1.0	0.0	0	4249.2	271.6	0	1.000	0.1661343	99.000	0.318	1.462	0.682	0.188	1.466
3	80	114	98	132	1	1.0	0.0	0	3337.7	365.4	80	114	98	132	1	1.0	0.0	0	3649.5	302.7	0	1.000	0.1661343	99.000	0.318	1.462	0.682	0.188	1.466
4	697	124	715	142	163405	1620.3	918.1	0	3486.1	332.3	697	124	715	142	216392	2459.5	1195.3	40	4302.8	251.1	40	0.659	-0.0150233	99.000	0.318	1.462	0.682	0.188	0.966
5	117	114	135	132	593563	3319.6	2636.1	74	3349.7	307.2	117	114	135	132	679996	4073.1	3066.5	92	3567.3	216.9	97	0.815	0.0773683	99.000	0.318	1.462	0.682	0.188	1.195
6	734	124	752	142	913026	19304.2	14800.0	45	3521.4	347.8	734	124	752	142	1377738	30025.8	18819.5	47	4417.7	324.4	48	0.643	-0.0254883	99.000	0.318	1.462	0.682	0.188	0.943
7	153	114	171	132	1005846	8421.5	4663.7	89	3412.0	367.5	153	114	171	132	972755	7766.1	4641.1	91	3678.1	243.2	93	1.084	0.2013973	99.000	0.318	1.462	0.682	0.188	1.590
8	770	124	788	142	571898	10076.8	10069.8	42	3539.8	357.3	770	124	788	142	677613	11738.7	10649.5	50	4395.0	268.9	50	0.858	0.1000263	99.000	0.318	1.462	0.682	0.188	1.259
9	190	113	208	131	744721	7357.7	5526.8	59	3435.3	346.7	190	113	208	131	619681	5170.0	3833.1	75	3810.9	273.4	77	1.423	0.3195223	99.000	0.318	1.462	0.682	0.188	2.087
10	806	123	824	141	1	1.0	0.0	0	3361.7	345.9	806	123	824	141	1	1.0	0.0	0	4434.4	271.0	0	1.000	0.1661343	99.000	0.318	1.462	0.682	0.188	1.466
11	226	113	244	131	618961	4810.9	3483.9	67	3441.9	360.0	226	113	244	131	1334086	13883.0	10308.4	83	3904.9	302.3	83	0.347	-0.2941363	99.000	0.318	1.462	0.682	0.188	0.508
12	843	123	861	141	1	1.0	0.0	0	3272.1	307.5	843	123	861	141	1	1.0	0.0	0	4422.0	255.1	0	1.000	0.1661343	99.000	0.318	1.462	0.682	0.188	1.466
13	52	734	70	752	716714	5345.1	1831.3	88	3290.0	340.0	52	734	70	752	903302	7560.8	2413.7	90	3322.3	250.8	91	0.707	0.0157793	99.000	0.318	1.462	0.682	0.188	1.037
14	649	731	667	749	735571	7773.7	3170.1	72	3719.6	372.8	649	731	667	749	859765	9437.2	3673.7	69	3996.7	238.8	72	0.824	0.0820673	99.000	0.318	1.462	0.682	0.188	1.208
15	88	733	106	751	1786540	17394.1	5376.1	91	3379.6	379.5	88	733	106	751	1962835	19378.5	6029.0	94	3445.2	309.9	94	0.898	0.1192563	99.000	0.318	1.462	0.682	0.188	1.316
16	685	731	703	749	203081	2027.1	1099.8	0	3461.5	591.3	685	731	703	749	287904	3710.7	2075.4	45	4070.5	347.9	45	0.546	-0.0963673	99.000	0.318	1.462	0.682	0.188	0.801
17	125	733	143	751	753758	6510.6	2790.8	77	3407.3	348.7	125	733	143	751	838892	7562.4	2994.6	83	3475.6	294.0	84	0.861	0.1014033	99.000	0.318	1.462	0.682	0.188	1.263
18	722	731	740	749	329738	1168.9	949.6	0	3752.6	418.9	722	731	740	749	480768	3065.4	1471.4	75	4110.3	247.1	75	0.381	-0.2525883	99.000	0.318	1.462	0.682	0.188	0.559
19	161	732	179	750	646043	4430.7	1989.5	80	3447.9	370.8	161	732	179	750	1055641	9272.6	3512.3	89	3601.1	316.3	90	0.478	-0.1542823	99.000	0.318	1.462	0.682	0.188	0.701
